task_id,text,final_label,confidence,reasoning,reached_agreement,agreement_round,used_moderator,used_adjudicator,needs_human,moderator_agreements,moderator_disagreements,moderator_closer,adjudication_confidence,adjudication_reasoning,agent_a_argument,agent_a_evidence,agent_b_argument,agent_b_evidence,debate_rounds_count
b26b14d0-ffa9-561a-adf5-523bb0d164a5,Thật tuyệt vời...!!!,0,0.8,Agents agreed at Round 1 on Label 0. Confidence: 0.8,True,1,False,False,False,,,,,,"The comment expresses only a simple positive emotion with no specific information, opinion, or contribution to the topic. The phrase 'Thật tuyệt vời...!!!' is a generic exclamation of approval, lacking detail or context — matching Label 0 criteria for non-constructive comments.",Thật tuyệt vời...!!!,"The comment expresses only a simple positive emotion with no specific information, opinion, or contribution to the topic. The phrase 'Thật tuyệt vời...!!!' is a generic exclamation of approval, lacking detail or context — matching Label 0 criteria for non-constructive comments.",Thật tuyệt vời...!!!,1
79c5157c-9640-5919-bc96-59a31149da21,"mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment expresses a specific, particularized opinion about the U.S.'s decline and the difficulty of recovery, reinforcing a clear viewpoint with contextual reasoning. It contributes to the topic by offering a evaluative perspective, not just emotion or trivia. This aligns with Label 1’s criteria of promoting discussion through informed opinion.","mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó","The comment expresses a specific, particularized opinion about the U.S.'s decline and the difficulty of recovery, reinforcing a clear viewpoint with evaluative judgment. It contributes to a broader discussion on geopolitical or economic trends, not merely emotion. Length is irrelevant — the opinion is substantive and contextually relevant, meeting Label 1 criteria.","mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",1
1dc11985-97f7-561e-bff6-178284a4d84e,"tôi thấy người lái xe hơi bấm còi mới là người ""rất"" lịch sự ""quá"" văn minh.đường xá là của chung,người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a specific viewpoint on road etiquette by criticizing aggressive honking as impolite and advocating shared responsibility. It provides particularized opinions on driver behavior and promotes civic awareness, meeting Label 1 criteria despite its informal tone.","đường xá là của chung, người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.","The comment reinforces a clear opinion on road etiquette, provides specific examples (bấm còi, nháy đèn), and critiques selfish behavior with reasoned language. It promotes civic responsibility by advocating mutual patience — a detailed, context-rich viewpoint that contributes meaningfully to public discourse on traffic conduct.","đường xá là của chung, người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1
51f35a56-bc69-5cbc-9798-dbc581675d9c,Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a strong, particularized viewpoint by equating disease with invasion and demanding expulsion — a metaphorical stance that frames public health as national defense. It expresses a culturally rooted sentiment of pride and resistance, contributing to the discourse on national identity and pandemic response. Though emotionally charged, it provides a specific, opinionated perspective that promotes the topic’s societal framing.",Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,"The comment reinforces a strong, particularized viewpoint by equating disease with invasion and demanding expulsion — a metaphorical stance that frames public health as national defense. It expresses a culturally rooted sentiment with clear political tone, contributing to discourse on national identity and crisis response. This is not mere emotion; it’s a constructed opinion promoting a specific narrative.",Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,1
04fdb2d6-c6cc-5238-ab09-bd74c5d03d2c,"Thương các bé quá! Các con còn quá nhỏ mà đã phải sớm rời xa cha mẹ! Xin chia buồn cùng các gia đình các con, cầu mong các con thật vui ở thế giới mới!",0,0.8,Agents agreed at Round 1 on Label 0. Confidence: 0.8,True,1,False,False,False,,,,,,"The comment expresses only emotional sympathy ('Thương các bé quá', 'cầu mong các con thật vui') without providing specific information, opinion, or contribution to the topic. It is a well-wishing statement, not a constructive engagement — matching Label 0 criteria.",Thương các bé quá! [...] cầu mong các con thật vui ở thế giới mới!,"The comment expresses only emotional sympathy ('Thương các bé quá') and a simple well-wish ('cầu mong các con thật vui ở thế giới mới'), with no specific information, opinion, or contribution to the topic. It fits Label 0: emotional expression without meaningful discourse.",Thương các bé quá! [...] cầu mong các con thật vui ở thế giới mới!,1
21d45373-81fd-503d-b1f3-7be175b6fc55,Angelina Jolie có đôi bàn tay nổi gân guốc quá!,0,0.8,Agents agreed at Round 1 on Label 0. Confidence: 0.8,True,1,False,False,False,,,,,,"The comment merely observes a physical trait without offering opinion, context, or contribution to any topic. It expresses no analysis, reinforces no viewpoint, and adds no meaningful information — it is a superficial observation, not constructive discourse.",Angelina Jolie có đôi bàn tay nổi gân guốc quá!,"The comment merely observes a physical trait without offering analysis, opinion, or contribution to any topic. It expresses a superficial impression, not a reasoned viewpoint. No information is provided to promote discussion or reinforce a perspective. This matches Label 0: simple observation with no meaningful contribution.",Angelina Jolie có đôi bàn tay nổi gân guốc quá!,1
1d00d705-81a9-506c-804b-faf3c312c8bc,Sevila đoạt cúp sau loạt đá luân lưu nha,0,0.95,Agents agreed at Round 2 on Label 0. Confidence: 0.95,True,2,False,False,False,,,,,,"The comment is a neutral factual statement with no opinion, analysis, or contextual reinforcement. It reports an outcome but adds no insight, perspective, or promotion of deeper discussion — even if specific, it lacks the particularized viewpoint required for Label 1. Per guidelines, mere reporting ≠ constructiveness. 'nha' is a conversational particle, not substantive contribution.",Sevila đoạt cúp sau loạt đá luân lưu nha,"I retract my earlier position. The comment is a neutral, factual statement with no opinion, analysis, or contextual expansion. It does not reinforce a viewpoint, offer insight, or promote deeper discussion — merely reports an outcome. Per guidelines, simple reporting without particularized opinion = non-constructive. Agent_A correctly identifies this as lacking meaningful contribution.",Sevila đoạt cúp sau loạt đá luân lưu nha,2
ffcdad30-c9c0-5635-a47d-9d1cfb6e21aa,"""Tôi không biết bà ấy làm thế nào để xử lý gã ấy, chỉ thấy đánh bùm bùm"".",0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment offers no specific information, opinion, or meaningful contribution to the topic. It merely describes a vague, sensory observation ('đánh bùm bùm') without analysis, context, or reinforcement of a viewpoint. It expresses no constructive insight — only a passive, emotional observation lacking depth or relevance to discussion.",chỉ thấy đánh bùm bùm,"The comment offers no analysis, context, or meaningful opinion — it merely describes violent sounds ('đánh bùm bùm') without contributing to understanding or discussion. It expresses a passive observation with no specific information or constructive intent, fitting Label 0 as a non-contributory, emotionally neutral snippet.",chỉ thấy đánh bùm bùm,1
ee68ccba-428a-5b3f-b13b-e530fcb0f129,tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment is a casual, speculative remark with no specific information, opinion, or contribution to the topic. It expresses a vague observation about storage capacity without reinforcing a viewpoint or promoting discussion. It lacks depth, context, or meaningful engagement — fitting Label 0 as a non-constructive, trivial observation.",tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,"The comment is a casual, speculative remark with no specific information, opinion, or contribution to the topic. It expresses a vague observation about storage capacity without context or purpose. No meaningful discussion is promoted. Even though it’s phrased as a statement, it lacks depth, evidence, or relevance — fitting Label 0 as a non-constructive, trivial remark.",tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,1
81ddc218-5b32-5bc1-8163-64714a056695,Không trung sẽ không còn yên tĩnh,1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a specific viewpoint about airspace disruption, implying a consequence of ongoing activity (e.g., protests or military action). Though brief, it offers a particularized, contextualized observation that contributes to the topic’s discourse by suggesting a causal relationship — not merely an emotion or random fact.",Không trung sẽ không còn yên tĩnh,"The comment reinforces a specific viewpoint about airspace disruption, implying a consequence of ongoing activity (e.g., protests or flights). Though brief, it offers a particularized, contextualized observation that contributes to the topic’s discourse — not a mere emotion or random fact. This qualifies as constructive under the guideline for opinion-based contribution.",Không trung sẽ không còn yên tĩnh,1
