task_id,text,final_label,confidence,reasoning,reached_agreement,agreement_round,used_moderator,used_adjudicator,needs_human,moderator_agreements,moderator_disagreements,moderator_closer,adjudication_confidence,adjudication_reasoning,agent_a_argument,agent_a_evidence,agent_b_argument,agent_b_evidence,debate_rounds_count
ef32f95a-8991-5424-a734-1c55ea9ffd13,Thật tuyệt vời...!!!,0,0.8,Agents agreed at Round 1 on Label 0. Confidence: 0.8,True,1,False,False,False,,,,,,"The comment expresses only a simple positive emotion with no specific information, opinion, or contribution to the topic. The phrase 'Thật tuyệt vời...!!!' is a generic exclamation of approval, lacking detail or context — matching Label 0 criteria for non-constructive comments.",Thật tuyệt vời...!!!,"The comment expresses only a simple positive emotion with no specific information, opinion, or contribution to the topic. The phrase 'Thật tuyệt vời...!!!' is a generic exclamation of approval, lacking detail or context — matching Label 0 criteria for non-constructive comments.",Thật tuyệt vời...!!!,1
2ceaa13f-c0fd-54ca-aea9-9255934f3930,"mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment offers a specific, particularized opinion on the U.S.'s decline and the difficulty of recovery, reinforcing a clear viewpoint with evaluative language. It contributes to the topic by framing a geopolitical assessment, not merely expressing emotion. This meets Label 1 criteria: opinionated, contextualized, and promotes discussion on national decline.","mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó","The comment offers a specific, particularized opinion about the U.S.'s decline and the difficulty of recovery, reinforcing a clear viewpoint with evaluative language. It contributes to a broader discussion on geopolitical or economic trends, meeting Label 1 criteria despite its brevity. Not a mere emotion or random fact — it’s a reasoned assertion.","mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",1
9e625f37-7814-53e6-87d9-4cd7ad706c5c,"tôi thấy người lái xe hơi bấm còi mới là người ""rất"" lịch sự ""quá"" văn minh.đường xá là của chung,người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a clear viewpoint on road etiquette with specific observations about honking behavior, contrasts it with shared responsibility, and uses vivid language ('anh đại') to critique entitlement. It provides particularized opinion and promotes civic discussion on public space usage — meeting all Label 1 criteria.","đường xá là của chung, người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.","The comment provides a specific, opinionated critique of aggressive driving behavior, reinforcing a viewpoint on shared road ethics with concrete examples (honking, flashing lights) and moral judgment ('anh đại'). It promotes civic responsibility, meeting Label 1 criteria despite its brevity.","đường xá là của chung, người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1
0bc7264f-a79a-5b53-822f-4d85544073b0,Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a strong, particularized viewpoint by equating disease with invasion and demanding expulsion — a metaphorical stance that frames public health as national defense. It promotes the topic by invoking patriotic identity ('VN luôn tự hào'), offering a clear, opinionated perspective rather than mere emotion. Though emotionally charged, it contributes to discourse by articulating a specific ideological position.",Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,"The comment reinforces a strong, particularized viewpoint by equating disease with invasion and demanding expulsion — a metaphorical stance that frames public health as national defense. It expresses a culturally rooted sentiment of pride and resistance, contributing to the discourse on societal response to crisis. This is not mere emotion; it’s a value-laden opinion promoting a specific narrative.",Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,1
b49edc8e-ac61-5f05-a5da-1965c1ff556e,"Thương các bé quá! Các con còn quá nhỏ mà đã phải sớm rời xa cha mẹ! Xin chia buồn cùng các gia đình các con, cầu mong các con thật vui ở thế giới mới!",0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment expresses only emotional sympathy and well-wishes ('Thương các bé quá', 'cầu mong các con thật vui') without providing specific information, opinion, or contribution to the topic. It lacks analysis, context, or reinforcement of a viewpoint — meeting Label 0 criteria for simple emotion with no meaningful discussion value.",Thương các bé quá! [...] cầu mong các con thật vui ở thế giới mới!,"The comment expresses only emotional sympathy ('Thương các bé quá') and simple well-wishes ('cầu mong các con thật vui ở thế giới mới'), with no specific information, opinion, or contribution to the topic. It lacks analysis, context, or constructive engagement — fitting Label 0 despite its length.",Thương các bé quá! [...] cầu mong các con thật vui ở thế giới mới!,1
31594515-8b95-5c14-b894-481c10090f05,Sevila đoạt cúp sau loạt đá luân lưu nha,0,0.95,Agents agreed at Round 2 on Label 0. Confidence: 0.95,True,2,False,False,False,,,,,,"The comment is a neutral factual statement with no opinion, analysis, or contextual expansion. It does not reinforce a viewpoint, explain significance, or engage with implications — merely reporting an outcome. Unlike Label 1 examples, it adds no insight to the discussion. Even if factual, it lacks the depth or perspective required for constructiveness. 'nha' is a conversational particle, not analytical content.",Sevila đoạt cúp sau loạt đá luân lưu nha,"While the comment states a factual result, it offers no analysis, opinion, or context to promote deeper discussion. It lacks reinforcement of a viewpoint or particularized insight — merely reporting an outcome without engagement. Even if factual, Label 1 requires more than passive observation; this is a neutral announcement, not constructive contribution.",Sevila đoạt cúp sau loạt đá luân lưu nha,2
7cf22750-ad9c-58b9-a7c7-29d77cb9025b,Angelina Jolie có đôi bàn tay nổi gân guốc quá!,0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment merely observes a physical trait without offering opinion, context, or contribution to any topic. It expresses no analysis, argument, or information beyond a superficial remark — fitting Label 0. Length or detail alone doesn’t make it constructive; here, there’s no reinforcement of a viewpoint or promotion of discussion.",Angelina Jolie có đôi bàn tay nổi gân guốc quá!,"The comment merely observes a physical trait without offering analysis, opinion, or contribution to any topic. It expresses a superficial observation, not a reasoned viewpoint or useful information. No context, argument, or promotion of discussion is present — fitting Label 0 as a simple, non-contributory remark.",Angelina Jolie có đôi bàn tay nổi gân guốc quá!,1
d0571c02-c6e5-5c2d-b87d-1d2d2becc3c5,"""Tôi không biết bà ấy làm thế nào để xử lý gã ấy, chỉ thấy đánh bùm bùm"".",0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment offers no specific information, opinion, or meaningful contribution to the topic. It merely describes a vague, sensory observation ('đánh bùm bùm') without analysis, context, or reinforcement of a viewpoint. It expresses no constructive insight — only a passive, emotional observation lacking depth or utility.",chỉ thấy đánh bùm bùm,"The comment offers no specific information, analysis, or opinion to promote discussion; it merely describes a vague, sensory observation ('đánh bùm bùm') without context or constructive intent. It expresses no reasoned viewpoint or contribution to the topic, fitting Label 0 as a non-constructive, emotionally neutral anecdote.",chỉ thấy đánh bùm bùm,1
f4706292-b844-54a4-912a-412e4d55d20a,tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,0,0.88,Agents agreed at Round 1 on Label 0. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment is a casual, speculative remark with no specific information, opinion, or contribution to the topic. It expresses a vague, non-substantive observation about storage capacity without reinforcing a point or promoting discussion. No meaningful context or data is provided — merely a trivial, offhand comment lacking constructive value.",tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,"The comment is a casual, speculative remark with no specific information, opinion, or contribution to the topic. It expresses a vague observation about storage capacity without context or purpose. No meaningful discussion is promoted. Even though it’s phrased as a statement, it lacks depth, relevance, or constructive intent — fitting Label 0 as a non-contributory remark.",tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,1
4281372f-7825-58d7-b6a6-9246d4b7d597,Không trung sẽ không còn yên tĩnh,1,0.88,Agents agreed at Round 1 on Label 1. Confidence: 0.88,True,1,False,False,False,,,,,,"The comment reinforces a point of view by implying that air space is losing its tranquility — likely in response to rising noise or activity. Though brief, it offers a specific, particularized observation that invites reflection on environmental or societal change, contributing meaningfully to the topic rather than expressing empty emotion.",Không trung sẽ không còn yên tĩnh,"The comment reinforces a specific viewpoint about airspace disruption, implying a consequence of external activity (e.g., military or drone use). Though brief, it offers a particularized, non-emotional observation that contributes to a broader discussion on airspace integrity — meeting Label 1 criteria by promoting the topic with contextual implication.",Không trung sẽ không còn yên tĩnh,1
